Theme,Sub Theme,Feature Name,lon,lat
Leisure/Recreation,Green Spaces (Park/Garden/Reserve),Carlton Gardens South,144.9712665,-37.80606846
Leisure/Recreation,Green Spaces (Park/Garden/Reserve),University Square,144.9603983,-37.80041071
Leisure/Recreation,Green Spaces (Park/Garden/Reserve),Powlett Reserve,144.9872757,-37.81169299
Leisure/Recreation,Green Spaces (Park/Garden/Reserve),Carlton Gardens North,144.9719976,-37.80176908
Leisure/Recreation,Green Spaces (Park/Garden/Reserve),Kings Domain,144.9741079,-37.82552398
Leisure/Recreation,Green Spaces (Park/Garden/Reserve),Treasury Gardens,144.9759523,-37.81439936
Leisure/Recreation,Green Spaces (Park/Garden/Reserve),Batman Park,144.9566658,-37.82184609
Leisure/Recreation,Green Spaces (Park/Garden/Reserve),Richmond Football Club,144.9881563,-37.821674
Leisure/Recreation,Green Spaces (Park/Garden/Reserve),Queen Victoria Gardens,144.9710495,-37.82163812
Leisure/Recreation,Green Spaces (Park/Garden/Reserve),Federation Square,144.9689636,-37.81785166
Leisure/Recreation,Green Spaces (Park/Garden/Reserve),New Quay,144.9416179,-37.81521788
Leisure/Recreation,Green Spaces (Park/Garden/Reserve),Docklands Park,144.9467817,-37.82099568
Leisure/Recreation,Green Spaces (Park/Garden/Reserve),Point Park,144.9421023,-37.82335227
Leisure/Recreation,Green Spaces (Park/Garden/Reserve),Newmarket Reserve,144.9229721,-37.78784733
Leisure/Recreation,Green Spaces (Park/Garden/Reserve),Birrarung Marr,144.9731467,-37.81806108
Leisure/Recreation,Green Spaces (Park/Garden/Reserve),Riverslide Skate Park,144.9729518,-37.82078871
Leisure/Recreation,Green Spaces (Park/Garden/Reserve),Alexandra Gardens,144.9717961,-37.82060514
Leisure/Recreation,Green Spaces (Park/Garden/Reserve),North Melbourne Recreation Reserve,144.9414521,-37.79883453
Leisure/Recreation,Green Spaces (Park/Garden/Reserve),J.J Holland Park,144.9238371,-37.79823588
Leisure/Recreation,Green Spaces (Park/Garden/Reserve),Royal Park,144.9538342,-37.79061743
Leisure/Recreation,Green Spaces (Park/Garden/Reserve),Princes Park,144.9611152,-37.78701617
Leisure/Recreation,Green Spaces (Park/Garden/Reserve),Shrine of Rembrance Reserve,144.9736284,-37.8320734
Leisure/Recreation,Green Spaces (Park/Garden/Reserve),Royal Botanic Gardens,144.9808504,-37.83066316
Leisure/Recreation,Green Spaces (Park/Garden/Reserve),Yarra Park,144.9866711,-37.82046937
Leisure/Recreation,Green Spaces (Park/Garden/Reserve),Darling Square,144.9890626,-37.81299207
Leisure/Recreation,Green Spaces (Park/Garden/Reserve),Flagstaff Gardens,144.9546961,-37.81112229
Leisure/Recreation,Green Spaces (Park/Garden/Reserve),Fawkner Park,144.9816257,-37.84139967
Leisure/Recreation,Green Spaces (Park/Garden/Reserve),Fitzroy Gardens,144.9804557,-37.81296163
Leisure/Recreation,Green Spaces (Park/Garden/Reserve),Enterprize Park,144.9592769,-37.82021027
Leisure/Recreation,Green Spaces (Park/Garden/Reserve),Argyle Square,144.9657613,-37.80314806
Leisure/Recreation,Green Spaces (Park/Garden/Reserve),Piazza Italia,144.9658631,-37.80251642
Leisure/Recreation,Green Spaces (Park/Garden/Reserve),Macarthur Square,144.9715141,-37.79833187
Leisure/Recreation,Green Spaces (Park/Garden/Reserve),Murchinson Square,144.9730593,-37.8002735
Leisure/Recreation,Green Spaces (Park/Garden/Reserve),Parliament Reserve,144.9734622,-37.80985262
Leisure/Recreation,Green Spaces (Park/Garden/Reserve),Westgate Park,144.9088248,-37.83149186
Leisure/Recreation,Green Spaces (Park/Garden/Reserve),Sandridge Rail Bridge,144.9629811,-37.8201763
Leisure/Recreation,Green Spaces (Park/Garden/Reserve),Lincoln Square,144.9627609,-37.80279197
