Theme,Sub Theme,Feature Name,lon,lat
Leisure/Recreation,Major Sports & Recreation Facility,State Netball Hockey Centre,144.947581,-37.785786
Leisure/Recreation,Major Sports & Recreation Facility,Carlton Football Club,144.9619678,-37.78408644
Leisure/Recreation,Major Sports & Recreation Facility,Visy Park,144.9619826,-37.78343039
Leisure/Recreation,Major Sports & Recreation Facility,Flemington Racecourse,144.912143,-37.79080826
Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Cricket Ground (MCG),144.9834029,-37.81949216
Leisure/Recreation,Major Sports & Recreation Facility,AAMI Park,144.983803,-37.82472527
Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,144.9784872,-37.82204561
Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Park,144.9787358,-37.8209086
Leisure/Recreation,Major Sports & Recreation Facility,Margaret Court Arena,144.9775911,-37.82132521
Leisure/Recreation,Major Sports & Recreation Facility,Hisense Arena,144.9818348,-37.82311
Leisure/Recreation,Major Sports & Recreation Facility,North Melbourne Recreation Centre (Aquatic),144.9432908,-37.799947
Leisure/Recreation,Major Sports & Recreation Facility,City Baths,144.9631898,-37.80715854
Leisure/Recreation,Major Sports & Recreation Facility,Westpac Centre,144.9797203,-37.82424569
Leisure/Recreation,Major Sports & Recreation Facility,Etihad Stadium,144.9474963,-37.81617605
