"NAME","DESCRIPTION","ADDRESSBLOCKHOUSENUMBER","ADDRESSPOSTALCODE","ADDRESSSTREETNAME","PHOTOURL","LANDXADDRESSPOINT","LANDYADDRESSPOINT","EST_ORIGINAL_COMPLETION_DATE","STATUS","ADDRESSTYPE","HUP_COMPLETION_DATE","ADDRESS_MYENV","Lat","Lng","ICON_NAME","APPROXIMATE_GFA","ADDRESSBUILDINGNAME","AWARDED_DATE","IMPLEMENTATION_DATE","CLEANINGENDDATE","CLEANINGSTARTDATE","INFO_ON_CO_LOCATORS","RNR_STATUS"
"Bedok North Street 4 Blk 85 (85 Fengshan Centre)","HUP Standard Upgrading","85","460085","Bedok North Street 4","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267853253145.jpg","39731.49","34910.13","30/6/1977","Existing","I","20/12/2012","Blk 85, Bedok North Street 4, Singapore 460085","1.33198706861747","103.938732580554","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Redhill Lane Blk 85 (Redhill Food Centre)","HUP Reconfiguration","85","150085","Redhill Lane","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153717849.jpg","26332.89","29972.02","4/4/1972","Existing","I","17/6/2005","Blk 85, Redhill Lane, Singapore 150085","1.28733076703987","103.818338919994","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Sembawang Hills Food Centre (Jalan Leban Food Centre)","HUP Standard Upgrading","590","574419","Upper Thomson Road","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155861677.jpg","27518.75","39376.87","1974","Existing","I","26/2/2003","590, Upper Thomson Road, Singapore 574419","1.37238494002145","103.828994204342","HC icons_Opt 8.jpg","884.38",NA,NA,NA,NA,NA,NA,NA
"Serangoon Garden Market","HUP Rebuilding","49A","555945","Serangoon Garden Way","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156095817.jpg","31719.13","38356.53","1957","Existing","I","26/9/2002","49A, Serangoon Garden Way, Singapore 555945","1.3631571201113","103.866737484646","HC icons_Opt 8.jpg","2448.2",NA,NA,NA,NA,NA,NA,NA
"Shunfu Road Blk 320 (Shunfu Mart)","Not eligible for HUP","320","570320","Shunfu Road","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259901832200.jpg","28413.24","37123.63","25/5/2000","Existing","I",NA,"Blk 320, Shunfu Road, Singapore 570320","1.35200744198417","103.837031803823","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Sims Place Blk 49 (Sims Vista Market and Food Centre)","HUP Reconfiguration","49","380049","Sims Place","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153128123.jpg","33130.31","33261.95","20/9/1976","Existing","I","15/11/2006","Blk 49, Sims Place, Singapore 380049","1.31708335109103","103.879417030673","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Smith Street Blk 335 (Chinatown Complex Market)","HUP Reconfiguration","335","50335","Smith Street","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168178798.jpg","29097.23","29408.57","31/5/1983","Existing","I","30/4/2008","Blk 335, Smith Street, Singapore 050335","1.28223514826381","103.843177616296","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Taman Jurong Market and Food Centre","HUP Rebuilding","3","618499","Yung Sheng Road","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156147897.jpg","15557.970000000001","35197.91","23/3/2005","Existing","I","23/3/2005","3, Yung Sheng Road, Singapore 618499","1.33458935951076","103.721519868629","HC icons_Opt 8.jpg","7770.3",NA,NA,NA,NA,NA,NA,NA
"Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre)","HUP Reconfiguration","137","521137","Tampines Street 11","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154543785.jpg","40387.13","36419.78","30/11/1982","Existing","I","8/1/2006","Blk 137, Tampines Street 11, Singapore 521137","1.3456395210229","103.944624481151","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Tanglin Halt Market","HUP Standard Upgrading","48A","148813","Tanglin Halt Road","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156211794.jpg","24027.71","31460.22","1964","Existing","I","1/10/2003","48A, Tanglin Halt Road, Singapore 148813","1.30078931480841","103.797625756738","HC icons_Opt 8.jpg","2030.92",NA,NA,NA,NA,NA,NA,NA
"Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre)","HUP Standard Upgrading","6","81006","Tanjong Pagar Plaza","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/blk-6-tanjong-pagar-plaza.jpg","29096.05","28787.08","18/4/1977","Existing","I","27/12/2013","Blk 6, Tanjong Pagar Plaza, Singapore 081006","1.27661461066321","103.843166992138","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Teban Gardens Road Blk 37A (Teban Gardens Market and Food Centre)","HUP Rebuilding","37A","601037","Teban Gardens Road","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153022672.jpg","17936.37","33678.4","1/11/1976","Existing","I","3/1/2008","Blk 37A, Teban Garden Road, Singapore 601037","1.32084835041654","103.742891623681","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Telok Blangah Crescent Blk 11 (11 Telok Blangah Crescent Market and Food Centre)","HUP Standard Upgrading","11","90011","Telok Blangah Crescent","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267876741836.gif","26366.58","28870.260000000002","19/10/1974","Existing","I","15/1/2010","Blk 11, Telok Blangah Crescent, Singapore 090011","1.27736683810318","103.818641695106","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Telok Blangah Drive Blk 79 (Telok Blangah Food Centre)","HUP Standard Upgrading","79","100079","Telok Blangah Drive","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153497855.jpg","25140.71","28428.13","30/5/1977","Existing","I","20/8/2005","Blk 79, Telok Blangah Drive, Singapore 100079","1.27336828250285","103.807626838954","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Telok Blangah Drive Blk 82 (Telok Blangah Market)","HUP Standard Upgrading","82","100082","Telok Blangah Drive","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153608307.jpg","25175.96","28488.45","30/5/1977","Existing","I","29/11/2011","Blk 82, Telok Blangah Drive, Singapore 100082","1.27391379857001","103.807943567416","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Telok Blangah Rise Blk 36 (Telok Blangah Rise Market)","HUP Standard Upgrading","36","90036","Telok Blangah Rise","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267858653663.jpg","26753.38","28355.97","29/10/1975","Existing","I","20/10/2010","Blk 36, Telok Blangah Rise, Singapore 090036","1.27271579716508","103.82211725658","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Tiong Bahru Market","HUP Rebuilding","30","168898","Seng Poh Road","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156378375.jpg","27892.07","29724.05",NA,"Existing","I","10/2/2006","30, Seng Poh Road, Singapore 168898","1.28508825756819","103.832348785334","HC icons_Opt 8.jpg","10630.72",NA,NA,NA,NA,NA,NA,NA
"Toa Payoh Lorong 1 Blk 127 (Toa Payoh West Market and Food Court)","HUP Reconfiguration","127","310127","Lorong 1 Toa Payoh","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154499803.jpg","29270.15","35585.01","11/3/1969","Existing","I","11/12/2003","Blk 127, Lorong 1 Toa Payoh, Singapore 310127","1.33809268551386","103.84473162196","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Toa Payoh Lorong 4 Blk 74 (Toa Payoh Vista Market)","HUP Reconfiguration","74","310074","Lorong 4 Toa Payoh","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262226848493.jpg","30078.95","35193.08","9/9/1968","Existing","I","1/11/2004","Blk 74, Lorong 4 Toa Payoh, Singapore 310074","1.33454816495637","103.851999137527","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Toa Payoh Lorong 4 Blk 93","HUP Standard Upgrading","93","310093","Lorong 4 Toa Payoh","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154305312.jpg","29802.32","35627.26","19/7/1967","Existing","I","20/7/2009","Blk 93, Lorong 4 Toa Payoh, Singapore 310093","1.3384747524617","103.849513484035","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
